"Genotypes","CIC_Morgenrot","CIC_Hadmersleben","CIC_Sollingen"
"BMW2178",-25.67178104,-27.095863660575,-28.1167854978102
"BMW2179",-26.05766988,-27.6401254333966,-28.5451224909791
"BMW2180",-25.92386408,-27.1451898855147,-28.5017967501566
"BMW2181",-25.97243276,-27.7081281571607,-28.9751997132141
"BMW2182",-25.83245476,-27.4593408798851,-28.4905490212079
"BMW2184",-26.11390229,-27.8572508245853,-28.9690875676147
"BMW2186",-25.73697188,-27.2465698061017,-28.421674591772
"BMW2187",-25.84923449,-27.765098468731,-28.7318229771097
"BMW2188",-26.28313997,-27.8795569582693,-28.6894666367763
"BMW2190",-26.33293167,-27.6220977705862,-28.9196904036846
"BMW2191",-25.99471706,-27.3431029184035,-28.6805487070979
"BMW2192",-26.14717139,-27.7243900743885,-28.9027194508488
"BMW2193",-26.24541093,-27.7008421113905,-28.9364888261499
"BMW2195",-26.20420596,-27.3494255845844,-29.0781622584822
"BMW2196",-25.96989654,-27.7722240189189,-28.6529676023412
"BMW2197",-26.11570927,-27.8081808788761,-28.544294953249
"BMW2198",-26.07117711,-27.3851867985779,-28.5105730405382
"BMW2199",-25.70558597,-27.3922380011562,-28.6777468604201
"BMW2200",-25.86495268,-27.4385487630291,-28.6143987238375
"BMW2202",-25.64532466,-27.1554869903851,-28.4306093477025
"BMW2203",-25.89328312,-27.6215939688446,-28.6412585702086
"BMW2204",-25.90379328,-27.5283877725733,-28.7584414748294
"BMW2205",-25.90833373,-27.8191582456638,-28.8441425598123
"BMW2206",-25.9782649,-27.9997270155106,-28.8818083745008
"BMW2207",-25.76029113,-27.3967365254153,-28.3273609532296
"BMW2208",-25.36336926,-26.7623519608564,-27.8345174514613
"BMW2209",-25.75227313,-27.2160757740941,-28.1617097843288
"BMW2211",-25.59568854,-27.0286843032049,-28.1580060605908
"BMW2212",-25.56909448,-27.1531700655533,-28.2456941701345
"BMW2213",-25.70474394,-26.7196625474502,-27.6954140428526
"BMW2215",-25.73567477,-27.1987407965813,-28.1357254006707
"BMW2216",-25.81149169,-27.4987548675667,-28.236717491536
"BMW2217",-25.9440466,-27.5468851409699,-28.6910416571527
"BMW2218",-25.10387116,-26.7777215737606,-27.7343969409748
"BMW2219",-25.86214036,-27.0104798706191,-28.6891782563619
"BMW2220",-25.91896824,-27.359059274626,-28.5269773003303
"BMW2222",-25.67103146,-27.3009450400811,-28.5173152721516
"BMW2223",-25.85927933,-27.4707303864723,-28.9686941168109
"BMW2224",-25.6826327,-27.1734618282252,-28.4294070505225
"BMW2226",-25.91633437,-27.6771655326619,-28.4878202516083
"BMW2227",-25.60598779,-26.8213809939351,-28.3236517336482
"BMW2228",-25.99028925,-27.3549330223589,-28.65066894396
"BMW2229",-25.63083993,-27.0382648964464,-28.7306807338271
"BMW2230",-26.25060018,-27.7047326193764,-29.0200445053476
"BMW2231",-25.22383585,-26.9744486293314,-27.8361741195241
"BMW2232",-25.31502232,-26.3191379265715,-27.9388797416912
"BMW2233",-25.79623542,-27.3001888605279,-28.3504433650338
"BMW2234",-26.06225869,-27.4888522932512,-28.5111807679793
"BMW2236",-26.05788569,-27.5124236716506,-28.5077846738113
"BMW2237",-25.7920371,-27.5565628201194,-28.2763970945825
"BMW2238",-25.79314736,-27.1142851180869,-28.6290994583835
"BMW2239",-26.13369482,-27.5819461361887,-28.3624162679623
"BMW2240",-25.85481565,-27.5390292360534,-28.5359210687721
"BMW2241",-26.18562314,-27.7369052351364,-28.6135001216805
"BMW2242",-25.87446922,-27.5507947494199,-28.6869987904538
"BMW2243",-26.04532005,-27.2909331318529,-28.6320699523885
"BMW2244",-26.17426334,-28.2965294723162,-28.5627956510434
"BMW2245",-25.84867281,-27.0070462953567,-28.5362580101981
"BMW2246",-25.82375928,-27.7033241497988,-28.7263425162631
"BMW2247",-25.75641442,-27.6025642177787,-28.5147597945675
"BMW2248",-26.01548513,-27.837228793219,-29.0053771490929
"BMW2249",-25.83693421,-27.7474575563383,-28.2988187877579
"BMW2250",-25.72293314,-27.2938588135415,-28.1773749229064
"BMW2251",-26.16984396,-27.5758996756969,-28.5256502236887
"BMW2252",-25.8903956,-27.5230182661776,-28.6139997114568
"BMW2255",-25.74372608,-27.0561706587534,-28.1823861565148
"BMW2256",-25.98608423,-27.8030366027514,-28.7251628950976
"BMW2257",-25.5143439,-27.1834815263559,-28.3329164943619
"BMW2258",-25.92085993,-27.4607487343292,-28.2882422773128
"BMW2261",-25.70340944,-27.5661422842779,-27.9793681998788
"BMW2262",-25.83934963,-27.3188173110735,-28.5387489922599
"BMW2263",-26.13470408,-27.1206764514784,-28.2508150573582
"BMW2264",-25.73542549,-27.3681054139177,-28.6482194879098
"BMW2265",-25.47643361,-26.9213138361376,-28.2661067846393
"BMW2266",-25.82725885,-27.4146379690693,-28.6672732409125
"BMW2267",-25.28439868,-26.5437941102314,-27.8956179035231
"BMW2268",-25.75827837,-27.2610980045187,-28.2050772911675
"BMW2269",-25.81464365,-27.5242119464602,-28.5837571269478
"BMW2270",-25.94947534,-27.3361431260816,-28.5725967933931
"BMW2271",-25.83432929,-27.6553179293182,-28.3193804410911
"BMW2272",-26.00731986,-27.5125193757664,-28.5641537015752
"BMW2274",-26.13715128,-27.8641415007333,-28.7087490626789
"BMW2275",-25.88573845,-27.5363748764615,-28.4943470884454
"BMW2276",-25.79095641,-27.5710387266137,-28.466574348085
"BMW2277",-26.23391103,-27.9377523795354,-28.6124943534654
"BMW2278",-26.07064895,-27.8227162391385,-28.6131377187663
"BMW2279",-25.96066551,-27.6987950321216,-28.7872042381171
"BMW2280",-25.8196839,-27.2154413607258,-28.3257744208855
"BMW2281",-25.99912409,-27.3626736536537,-28.4667110907719
"BMW2282",-25.78907255,-27.3402931484863,-28.5249619787992
"BMW2283",-26.08142792,-27.8164418047954,-28.4460379216956
"BMW2284",-25.72166524,-27.4531682114765,-28.4443707321955
"BMW2285",-26.0988827,-27.4407352016499,-28.4021132810757
"BMW2286",-26.19584706,-27.6426369443796,-28.3882757095741
"BMW2287",-25.99581552,-27.5803868088446,-28.6852209902211
"BMW2288",-25.52255346,-27.0491725237228,-28.1666680554524
"BMW2289",-25.90459567,-27.0991028629504,-28.0462534337142
"BMW2290",-26.25066038,-27.7629828984944,-28.7220625272476
"BMW2291",-26.13197267,-27.5424235605549,-28.7986047588089
"BMW2292",-25.85432988,-27.6306759809372,-28.7217300425802
"BMW2293",-25.59243043,-26.9861618123054,-28.1090122729825
"BMW2294",-25.77448483,-27.2396300385152,-28.4261446663658
"BMW2295",-25.7686807,-27.4365276839428,-28.5204592446315
"BMW2296",-25.35110958,-26.9187002975633,-28.1695079836424
"BMW2297",-26.40764831,-28.1615716753936,-28.9531727452877
"BMW2299",-25.73321472,-27.0661645310117,-27.9597499916633
"BMW2300",-25.82382372,-27.7165182892293,-28.2575950690201
"BMW2302",-26.14528639,-27.917758212398,-29.046348185042
"BMW2304",-26.35134639,-28.1656322629535,-29.0404148066852
"BMW2305",-26.31968972,-28.1439560612287,-29.1963567692756
"BMW2306",-26.34290811,-28.0939058527605,-28.9120674583636
"BMW2307",-26.56136605,-28.3439765281901,-28.5184141368627
"BMW2309",-25.9428638,-27.3846651359051,-28.3089347573742
"BMW2310",-25.85008885,-27.6202307129121,-28.4507098480836
"BMW2311",-26.03911652,-27.4993222143525,-28.5705872476202
"BMW2312",-25.80162495,-27.2028846506877,-28.1995506261948
"BMW2314",-25.74203086,-27.2992572495999,-28.3488525926722
"BMW2315",-25.97794959,-27.8630152045333,-28.7695914258749
"BMW2320",-26.01280657,-27.7359320116564,-28.5135316708138
"BMW2321",-26.39170033,-27.6755382141026,-28.699006473906
"BMW2322",-25.56755592,-27.484744192395,-28.4845681096507
"BMW2323",-26.58168399,-28.0573273992417,-29.0226190171607
"BMW2324",-26.14474871,-27.6511641475821,-28.4926331713684
"BMW2325",-25.63707071,-27.4362415161717,-28.3413010719101
"BMW2326",-25.98399938,-27.5990821752989,-28.4707856239903
"BMW2327",-25.83243433,-27.5618840766585,-28.791609301023
"BMW2328",-26.11940619,-27.7023226201598,-28.7674710557905
"BMW2329",-26.04535509,-27.5224144124641,-28.8357413505383
"BMW2330",-25.74636552,-27.1618571317599,-28.5687490022884
"BMW2331",-26.00800861,-27.7784055513797,-28.4852236314001
"BMW2332",-25.99603788,-27.6987389551248,-28.7058888681606
"BMW2333",-25.56497075,-26.9075242423178,-28.1014749510157
"BMW2334",-25.80340267,-27.5534658302967,-28.6174548382962
"BMW2336",-25.83419891,-27.3892683254733,-28.4956014395227
"BMW2337",-25.60284447,-27.2687373971739,-28.5571945241413
"BMW2338",-26.06342848,-28.0912044077061,-28.8477354214447
"BMW2340",-26.25453692,-28.2257968349992,-28.9405768901994
"BMW2342",-25.57125788,-26.8766606755726,-27.6103911141373
"BMW2344",-26.02698017,-27.6150356838704,-28.5809576091795
"BMW2347",-25.75776794,-27.3555680344505,-28.6083600089629
"BMW2348",-25.93032312,-27.579034941567,-28.4694294315346
"BMW2350",-25.71929783,-27.6796183407614,-28.6903296130805
"BMW2351",-26.18477594,-27.5653477991361,-28.5921004849068
"BMW2352",-26.31615656,-27.9408290784819,-28.927977029362
"BMW2353",-26.11311548,-27.7482729473397,-28.6790263027872
"BMW2354",-25.74572667,-27.2870426527536,-28.4139749705849
"BMW2355",-26.06809919,-27.5862298622005,-28.5826937456729
"BMW2356",-26.01392318,-27.6050620749395,-28.8649326392317
"BMW2358",-25.86060084,-27.635234528791,-28.5587229559545
"BMW2360",-25.45215907,-27.2450007675709,-28.0531240878506
"BMW2361",-25.86411353,-27.224618725149,-28.3433978163736
"BMW2362",-26.00194609,-27.6013308598733,-28.7895740169242
"BMW2363",-25.62817819,-27.2621941718905,-28.5018294347398
"BMW2364",-25.25953938,-26.9734688345696,-28.4554843495307
"BMW2365",-25.60177551,-27.1129529753133,-28.2950352911061
"BMW2366",-26.15893658,-28.0136428597007,-28.7962822768441
"BMW2367",-25.69750538,-26.7397943874315,-28.4646980933773
"BMW2368",-25.59829644,-27.3030644834992,-28.6556453920588
"BMW2369",-25.92150301,-27.6400204814204,-28.6940910399166
"BMW2372",-26.09883514,-27.7516269731034,-28.597478989941
"BMW2373",-26.02315176,-27.7660898744106,-28.4706214393468
"BMW2376",-25.790815,-27.7266457709008,-28.5217723312686
"BMW2377",-25.64653061,-27.6367008714935,-28.4049283154473
"BMW2378",-25.94931526,-27.3935826784963,-28.3099480902427
"BMW2384",-25.6972695,-27.5305241346258,-28.8507811633664
"BMW2386",-26.04011093,-27.5726231748099,-28.5249812637979
"BMW2387",-26.05465595,-27.4756252229665,-28.4663190816915
"BMW2388",-26.43927931,-28.0690805305844,-28.9850193335904
"BMW2392",-26.05325492,-27.6978814949619,-28.4694842463372
"BMW2393",-25.9083149,-27.3879851045708,-28.5783208683765
"BMW2394",-25.86376425,-27.5144531076863,-28.2124152691681
"BMW2395",-25.96013741,-27.9550236858795,-28.4983785846585
"BMW2396",-26.03777448,-27.9670430117152,-28.9144661882727
"BMW2397",-25.94772271,-27.6168984906963,-28.5017909389866
"BMW2398",-25.97965214,-27.5950033177648,-28.7588849783203
"BMW2399",-25.98323514,-27.4718705779033,-28.4297055284576
"BMW2401",-26.33068247,-28.1191014771193,-29.2057907031385
"BMW2402",-25.82761639,-27.746578366716,-28.6492466126272
"BMW2406",-26.08276462,-27.6688749388598,-28.6508107698473
"BMW2409",-25.6671829,-27.7826475352686,-28.4371887979885
"BMW2410",-25.87814009,-27.7372213452756,-28.5195983880682
"BMW2413",-25.74878712,-27.8296580869802,-28.7699878133066
"BMW2414",-25.95293532,-27.44763769917,-28.4209599865098
"BMW2417",-26.15160693,-27.6546436924605,-28.6793567411492
"BMW2418",-26.17068802,-28.0835920796512,-29.0442854689338
"BMW2419",-25.92957793,-27.6346172800976,-28.5729720488699
"BMW2421",-25.70362686,-27.2068341140604,-28.3274374097764
"BMW2422",-25.91019416,-27.5516505428108,-28.4503418508924
"BMW2423",-25.76358146,-27.4336751072524,-28.5871542128754
"BMW2424",-25.80351596,-27.3504243101548,-28.5628286785288
"BMW2425",-26.09938105,-27.53741287282,-28.7650150150395
"BMW2426",-26.04317712,-28.0902674236567,-28.9363870040531
"BMW2427",-25.68242651,-27.1440237604257,-28.3117931437441
"BMW2428",-25.39258781,-27.1141306931313,-28.2254732402983
"BMW2429",-25.93395485,-27.3465792246535,-28.4631952984791
"BMW2430",-25.846349,-27.5878429567004,-28.5326541103004
"BMW2432",-26.03499179,-27.9544173315652,-28.8111484218786
"BMW2435",-25.66647457,-27.4399545447483,-28.3745483958397
"BMW2437",-25.73327138,-27.3136468170388,-28.478225088442
"BMW2438",-25.60550059,-26.9991154269185,-28.2768840447962
"BMW2439",-25.49451699,-27.0990445049802,-27.974222231994
"BMW2440",-25.91943185,-27.7155067351651,-28.3668843766134
"BMW2441",-26.13490942,-27.5500334211804,-28.197536783106
"BMW2442",-25.73015346,-27.5984619567311,-28.4216739860685
"BMW2443",-25.89408391,-27.641349580436,-28.3804499510119
"BMW2444",-25.61017419,-27.2373240264212,-28.3650231808959
"BMW2445",-26.22316652,-28.0200795950557,-28.7026129609584
"BMW2446",-26.02118069,-27.6099202259174,-28.5142853276565
"BMW2447",-25.9620462,-27.659363746059,-28.3608925375453
"BMW2448",-26.26001151,-27.9673302528394,-28.3964630960848
"BMW2449",-25.43989846,-27.2162130884318,-28.088079013434
"BMW2451",-26.18169794,-27.5336253608198,-28.6702567895034
"BMW2452",-25.90317493,-27.7317443593295,-28.4882889573517
"BMW2453",-26.00576105,-27.2865054735777,-28.9161565812832
"BMW2454",-26.09715204,-27.5288363791482,-28.3499557194164
"BMW2455",-25.72985442,-27.5967509738554,-28.3015070708647
"BMW2456",-26.37403345,-27.8507736846275,-28.7382625542265
"BMW2457",-25.75032267,-27.4553047275661,-28.376167184021
"BMW2458",-26.12753594,-27.8402286352296,-28.5516170580135
"BMW2459",-25.76496586,-27.3901449714648,-28.6983911950068
"BMW2461",-25.59566627,-26.9288557838968,-27.7900694659631
"BMW2464",-25.97859177,-27.5591674862495,-28.629905588683
"BMW2465",-25.97435698,-27.6216169019066,-28.5144098930531
"BMW2467",-25.81466147,-27.6163161643814,-28.3205517015427
"BMW2468",-26.24005618,-27.7449306329794,-28.6997157346234
"BMW2469",-26.0940487,-27.4682640506505,-29.0326149949041
"BMW2470",-25.83114061,-27.5091470992114,-28.6412536961276
"BMW2471",-25.81869132,-27.6009623188564,-28.4052225098542
"BMW2472",-26.05726988,-27.6207341021197,-28.6055786889482
"BMW2473",-26.34503372,-28.1787524535704,-28.8577953747267
"BMW2474",-25.96073822,-27.6663396178776,-28.6575306782517
"BMW2475",-25.98297605,-27.843301524159,-28.9620043134332
"BMW2476",-26.22722651,-28.1820195314412,-28.7725037297935
"BMW2477",-26.08031152,-28.0601661839992,-28.5741412720552
"BMW2478",-26.05498553,-28.2008172705964,-28.9488780569879
