"unit","genotype","treatment","Groups","d13C","CID","iWUE"
"211","BMW_2352","control","Low",-33.59,25.8003427329346,13.7687295820831
"213","BMW_2297","control","Low",-33.875,26.1029465343877,10.2956793809117
"216","BMW_2297","drought","Low",-29,20.9512968285637,69.4222929966684
"218","BMW_2321","drought","Low",-29.235,21.1984457830014,66.5857102379347
"221","BMW_2007","control","High",-32.785,24.9465829422986,23.5675179594329
"225","BMW_2364","drought","High",-28.965,20.9144976448175,69.8446452999079
"226","BMW_2007","control","High",-33.135,25.317608167154,19.309180074595
"230","BMW_2007","control","High",-33.615,25.826879784491,13.4641580208408
"231","BMW_2496","drought","High",-29.175,21.1353325476119,67.3100746835015
"233","BMW_2095","drought","Low",-30.14,22.1513509378007,55.6490087699402
"236","BMW_2496","control","High",-33.505,25.7101270265602,14.8041550316901
"238","BMW_2496","drought","High",-28.825,20.7673274338151,71.5337500913016
"241","BMW_2496","drought","High",-28.6575,20.5913045301069,73.5540035653123
"243","BMW_2007","drought","High",-28.725,20.6622318298477,72.7399553892796
"246","BMW_2297","drought","Low",-28.765,20.7042674744375,72.2575030763938
"248","BMW_2095","control","Low",-34.395,26.6555260386342,3.95360321012141
"250","BMW_2321","drought","Low",-30.235,22.2514828030867,54.4997733895343
"251","BMW_2297","control","Low",-34.34,26.5970519857252,4.62472274082042
"253","BMW_2496","control","High",-33.1975,25.3838909400165,18.5484381522562
"255","BMW_2321","control","Low",-33.015,25.1903692617107,20.7695289004344
"256","BMW_2496","control","High",-33.4,25.5987060009677,16.0829585810534
"258","BMW_2364","control","High",-33.535,25.7419660520923,14.4387315522161
"260","BMW_2364","drought","High",-28.42,20.3418238544797,76.4173479995684
"263","BMW_2297","control","Low",-34.165,26.4110424871074,6.75959455502799
"265","BMW_2297","drought","Low",-29.32,21.2878695559148,65.5593739823591
"266","BMW_2095","control","Low",-33.21,25.3971485229836,18.3962779646783
"268","BMW_2364","control","High",-33.7425,25.9622401073579,11.9105979059122
"270","BMW_2007","drought","High",-28.8975,20.8435352813275,70.6590959102802
"271","BMW_2218","control","High",-32.785,24.9465829422986,23.5675179594329
"273","BMW_2352","drought","Low",-30.2,22.2145898335073,54.9232020933519
"275","BMW_2218","drought","High",-29.035,20.9880986652818,68.9999102446887
"276","BMW_2364","drought","High",-29.575,21.5562348667185,62.4792864481022
"278","BMW_2352","control","Low",-33.705,25.922424539644,12.3675699095493
"280","BMW_2496","control","High",-32.525,24.671137983447,26.7288601671566
"281","BMW_2218","drought","High",-28,19.9009354120734,81.4775213557532
"283","BMW_2352","control","Low",-33.36,25.5562662630714,16.5700487614491
"285","BMW_2007","control","High",-32.49,24.6340701600349,27.1542957067635
"286","BMW_2095","drought","Low",-30.035,22.0407016959739,56.918954387743
"291","BMW_2095","control","Low",-34.3525,26.6103409583055,4.4722022877659
"293","BMW_2321","control","Low",-33.32,25.5138300373809,17.0570986314895
"295","BMW_2321","drought","Low",-30.25,22.2672948909877,54.3182945885345
"296","BMW_2218","control","High",-32.5675,24.716152517654,26.2122184847559
"300","BMW_2095","drought","Low",-29.765,21.7562850448967,60.1832666749544
"301","BMW_2297","control","Low",-34.215,26.4641811795952,6.14971012611928
"305","BMW_2364","control","High",-33.275,25.4660934811196,17.6049815580435
"306","BMW_2496","drought","High",-27.955,19.8537199620752,82.0194234314289
"308","BMW_2007","drought","High",-29.58,21.5614983414762,62.4188763938391
"310","BMW_2007","control","High",-33.045,25.2221760273594,20.4044756747167
"313","BMW_2364","drought","High",-27.96,19.8589659073036,81.9592145674182
