"unit","genotype","treatment","Groups","digital_Biomass","Height","M.Height","leaf_angle","LA (Leaf Area)","LAI (Leaf Area Index)","LAP (Leaf Area Projection)","LIc (Leaf Inclination)","LPD (Light Penetration Depth)","Biomass","Shoots","Nr_ears","Weight_ear","TKW","d13C","CID","iWUE"
"153","BMW_2364","control","High",28271306.6666667,511.39669047619,628.240523809524,33.2145,43061.9916666667,0.232166666666667,18855.7471428571,1.8356669047619,370.387857142857,18.18,9,9,15.68,36.8,-33.785,26.0073681536049,11.392653420932
"155","BMW_2007","drought","High",9194872.07142857,442.122142857143,510.673571428571,34.0413571428571,18820.8680952381,0.101547619047619,9023.19,1.80957619047619,330.81919047619,7.13,5,5,4.28,28.2,-30.675,22.7155074103478,49.1740611947177
"160","BMW_2364","drought","High",15359432.9268293,487.558731707317,603.374707317073,33.366756097561,26327.5458536585,0.141926829268293,11909.9068292683,1.82772097560976,358.039804878049,8.12,5,4,3.46,24.94,-30.27,22.2883784357866,54.0763141204983
"161","BMW_2321","drought","Low",10216204.3658537,426.219975609756,551.365292682927,31.8555853658537,22017.9317073171,0.118682926829268,10077.2665853659,1.89960048780488,297.817658536585,4.27,4,4,4.68,29.4,-28.9775,20.9276399059088,69.6938086867922
"163","BMW_2297","control","Low",24551872.4146341,509.782926829268,590.62812195122,33.1372682926829,40663.9512195122,0.219170731707317,18158.986097561,1.8379856097561,312.622609756098,13,13,11,12.12,22.7,-33.365,25.5615710382258,16.5091646934748
"165","BMW_2352","control","Low",28497543.6829268,577.451829268293,691.130487804878,32.085756097561,40612.9141463415,0.218951219512195,16711.3556097561,1.89547756097561,369.923804878049,14.29,7,7,8.33,23.3,-33.345,25.5403522668743,16.7526971863153
"166","BMW_2321","control","Low",21598154.2195122,538.150048780488,625.289024390244,32.2316341463415,34339.4702439024,0.185048780487805,14620.8904878049,1.88364268292683,378.906243902439,11.27,10,9,12.95,24.1,-33.78,26.0020587656386,11.4535904311605
"168","BMW_2095","drought","Low",7444563.17073171,335.760219512195,423.073121951219,32.8189024390244,20387.4958536585,0.109878048780488,9677.42585365854,1.85126463414634,219.74956097561,3.8,5,5,3.83,36.21,-30.635,22.6733059482603,49.6584166313937
"170","BMW_2496","drought","High",13342953.4390244,438.909073170732,570.490634146341,34.5539268292683,27677.9351219512,0.149121951219512,13519.6465853659,1.77379317073171,307.599341463415,7.31,4,3,2.74,23.67,-29.315,21.2826089004521,65.6197516789551
"173","BMW_2321","control","Low",20317990.5121951,537.669317073171,620.195048780488,31.8434146341463,33114.3719512195,0.178512195121951,14341.9624390244,1.89995097560976,378.964658536585,8.34,7,7,11.17,34.4,-33.455,25.6570663761494,15.4131437545636
"175","BMW_2496","drought","High",13059146.8333333,483.698166666667,598.815928571429,32.9658095238095,24286.7014285714,0.130880952380952,11392.0795238095,1.85373595238095,363.598738095238,8.18,5,2,2.44,24.1,-29.93,21.9300764074091,58.1886250887048
"178","BMW_2496","control","High",25890281.1904762,588.694095238095,699.033880952381,33.8279523809524,37620.0304761905,0.202809523809524,16981.4038095238,1.81120619047619,425.385428571429,11.02,8,8,9.34,36.8,-32.49,24.6340701600349,27.1542957067635
"180","BMW_2218","drought","High",13976996.3333333,471.544619047619,569.072428571429,34.5036904761905,26486.1269047619,0.142785714285714,13188.5466666667,1.77425357142857,332.220904761905,6.36,6,5,5,34.9,-29.875,21.8721393846518,58.8535810065624
